Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-13,28.85,29.4,28.8,29.08,13871284.0,0.0,1.0,27.918879822749773,28.451128831502366,27.870493549226808,28.1414566809554,13871284.0
2016-06-14,29.07,29.31,28.65,28.83,10751572.0,0.0,1.0,28.13177942625081,28.36403353916103,27.725334728657916,27.899525313340582,10751572.0
2016-06-15,28.98,29.22,28.79,28.86,8479845.0,0.0,1.0,28.044684133909477,28.276938246819697,27.860816294522213,27.928557077454364,8479845.0
2016-06-16,28.67,29.07,28.5,29.02,9654391.0,0.0,1.0,27.744689238067107,28.13177942625081,27.58017590808903,28.083393152727844,9654391.0
2016-06-17,29.14,29.43,29.06,29.23,12707391.0,0.0,1.0,28.199520209182957,28.480160595616145,28.122102171546214,28.28661550152429,12707391.0
2016-06-20,29.62,30.03,29.59,29.65,12329065.0,0.0,1.0,28.664028435003406,29.060795877891703,28.634996670889628,28.69306019911718,12329065.0
2016-06-21,29.64,29.77,29.43,29.51,10317860.0,0.0,1.0,28.68338294441259,28.809187255572294,28.480160595616145,28.557578633252888,10317860.0
2016-06-22,29.34,29.59,29.27,29.32,8714079.0,0.0,1.0,28.39306530327481,28.634996670889628,28.32532452034266,28.373710793865627,8714079.0
2016-06-23,29.59,29.85,29.55,29.82,9589520.0,0.0,1.0,28.634996670889628,28.886605293209037,28.596287652071258,28.85757352909526,9589520.0
2016-06-24,28.58,29.04,28.25,28.35,30176942.0,0.0,1.0,27.65759394572577,28.10274766213703,27.338244540474214,27.43501708752014,30176942.0
2016-06-27,28.09,28.1,27.34,27.51,18645156.0,0.0,1.0,27.18340846520073,27.193085719905323,26.45761436235628,26.62212769233436,18645156.0
2016-06-28,27.93,27.98,27.4,27.74,14060960.0,0.0,1.0,27.02857238992725,27.076958663450213,26.515677890583838,26.844704550539987,14060960.0
2016-06-29,28.0,28.2,27.6,28.17,10644071.0,0.0,1.0,27.096313172859396,27.28985826695125,26.70922298467569,27.260826502837475,10644071.0
2016-06-30,28.18,29.66,27.7,28.3,15360601.0,0.0,1.0,27.270503757542063,28.702737453821776,26.805995531721617,27.386630813997176,15360601.0
2016-07-01,28.69,28.98,28.36,28.89,15156343.0,0.0,1.0,27.76404374747629,28.044684133909477,27.444694342224732,27.957588841568143,15156343.0
2016-07-05,28.64,28.68,28.04,28.17,12174286.0,0.0,1.0,27.715657473953325,27.754366492771695,27.135022191677766,27.260826502837475,12174286.0
2016-07-06,28.0,28.41,27.52,28.4,14630399.0,0.0,1.0,27.096313172859396,27.493080615747694,26.631804947038948,27.483403361043102,14630399.0
2016-07-07,28.49,29.055,28.42,28.74,10842314.0,0.0,1.0,27.570498653384433,28.11726354419392,27.50275787045229,27.81243002099925,10842314.0
2016-07-08,29.27,29.87,29.27,29.66,16659407.0,0.0,1.0,28.32532452034266,28.90595980261822,28.32532452034266,28.702737453821776,16659407.0
2016-07-11,29.79,30.27,29.74,30.13,13870121.0,0.0,1.0,28.828541764981477,29.293049990801926,28.780155491458515,29.15756842493763,13870121.0
2016-07-12,30.45,30.85,30.39,30.6,16787602.0,0.0,1.0,29.467240575484592,29.8543307636683,29.40917704725704,29.612399396053483,16787602.0
2016-07-13,30.63,30.69,30.22,30.63,13298372.0,0.0,1.0,29.64143116016726,29.699494688394818,29.24466371727896,29.64143116016726,13298372.0
2016-07-14,30.88,31.05,30.6,30.76,11302476.0,0.0,1.0,29.883362527782076,30.047875857760154,29.612399396053483,29.767235471326966,11302476.0
2016-07-15,30.82,30.98,30.57,30.77,8423965.0,0.0,1.0,29.825298999554523,29.980135074828006,29.583367631939705,29.776912726031558,8423965.0
2016-07-18,30.75,31.1,30.61,30.87,8732227.0,0.0,1.0,29.75755821662237,30.096262131283115,29.622076650758075,29.873685273077484,8732227.0
2016-07-19,30.7,31.27,30.7,31.25,17149291.0,0.0,1.0,29.70917194309941,30.26077546126119,29.70917194309941,30.241420951852007,17149291.0
2016-07-20,31.42,31.58,31.07,31.49,20903690.0,0.0,1.0,30.40593428183008,30.56077035710356,30.067230367169337,30.473675064762226,20903690.0
2016-07-21,32.56,32.87,31.83,32.03,36290005.0,0.0,1.0,31.50914131815364,31.80913621399601,30.802701724718375,30.99624681881023,36290005.0
